Distance [nm],Force WLC data [pN],Force WLC+FJC data [pN]
1115.2527828190591,1.7912904948502404,1.6923411056164457
1117.2527828190591,1.813383194233484,1.7117860705404462
1119.2527828190591,1.835966313239648,1.731634071180437
1121.2527828190591,1.8590536748552,1.7518955835382088
1123.2527828190591,1.8826595561623267,1.772581397780925
1125.2527828190591,1.9067987044156172,1.7937026283965938
1127.2527828190591,1.9314863536653166,1.815270724678232
1129.2527828190591,1.9567382419397776,1.837297481546074
1131.2527828190591,1.982570628998619,1.8597950507174956
1133.2527828190591,2.0090003146678117,1.8827759522344394
1135.2527828190591,2.03604465776689,1.9062530863582063
1137.2527828190591,2.0637215956376624,1.930239745841724
1139.2527828190591,2.09204966428231,1.9547496285894492
1141.2527828190591,2.1210480191179033,1.9797968507152104
1143.2527828190591,2.150736456352266,2.0053959600084172
1145.2527828190591,2.1811354349847423,2.031561949819115
